station_id,station_name,sample_datetime,parameter,value,unit,basin,river,county,latitude,longitude
01001,Xindian River - Bitan,2018-02-15T00:00:00,DO,9.202,mg/L,淡水河,新店溪,New Taipei / Taipei,24.957,121.539
01001,Xindian River - Bitan,2018-02-15T00:00:00,BOD5,0.453,mg/L,淡水河,新店溪,New Taipei / Taipei,24.957,121.539
01001,Xindian River - Bitan,2018-02-15T00:00:00,SS,11.876,mg/L,淡水河,新店溪,New Taipei / Taipei,24.957,121.539
01001,Xindian River - Bitan,2018-02-15T00:00:00,NH3-N,0.184,mg/L,淡水河,新店溪,New Taipei / Taipei,24.957,121.539
01001,Xindian River - Bitan,2018-03-15T00:00:00,DO,7.629,mg/L,淡水河,新店溪,New Taipei / Taipei,24.957,121.539
01001,Xindian River - Bitan,2018-03-15T00:00:00,BOD5,0.46,mg/L,淡水河,新店溪,New Taipei / Taipei,24.957,121.539
01001,Xindian River - Bitan,2018-03-15T00:00:00,SS,10.32,mg/L,淡水河,新店溪,New Taipei / Taipei,24.957,121.539
01001,Xindian River - Bitan,2018-03-15T00:00:00,NH3-N,0.127,mg/L,淡水河,新店溪,New Taipei / Taipei,24.957,121.539
01001,Xindian River - Bitan,2018-04-15T00:00:00,DO,8.49,mg/L,淡水河,新店溪,New Taipei / Taipei,24.957,121.539
01001,Xindian River - Bitan,2018-04-15T00:00:00,BOD5,0.629,mg/L,淡水河,新店溪,New Taipei / Taipei,24.957,121.539
01001,Xindian River - Bitan,2018-04-15T00:00:00,SS,12.198,mg/L,淡水河,新店溪,New Taipei / Taipei,24.957,121.539
01001,Xindian River - Bitan,2018-04-15T00:00:00,NH3-N,0.189,mg/L,淡水河,新店溪,New Taipei / Taipei,24.957,121.539
01001,Xindian River - Bitan,2018-05-15T00:00:00,DO,8.24,mg/L,淡水河,新店溪,New Taipei / Taipei,24.957,121.539
01001,Xindian River - Bitan,2018-05-15T00:00:00,BOD5,1.105,mg/L,淡水河,新店溪,New Taipei / Taipei,24.957,121.539
01001,Xindian River - Bitan,2018-05-15T00:00:00,SS,13.419,mg/L,淡水河,新店溪,New Taipei / Taipei,24.957,121.539
01001,Xindian River - Bitan,2018-05-15T00:00:00,NH3-N,0.115,mg/L,淡水河,新店溪,New Taipei / Taipei,24.957,121.539
01001,Xindian River - Bitan,2018-06-15T00:00:00,DO,8.202,mg/L,淡水河,新店溪,New Taipei / Taipei,24.957,121.539
01001,Xindian River - Bitan,2018-06-15T00:00:00,BOD5,0.747,mg/L,淡水河,新店溪,New Taipei / Taipei,24.957,121.539
01001,Xindian River - Bitan,2018-06-15T00:00:00,SS,16.093,mg/L,淡水河,新店溪,New Taipei / Taipei,24.957,121.539
01001,Xindian River - Bitan,2018-06-15T00:00:00,NH3-N,0.16,mg/L,淡水河,新店溪,New Taipei / Taipei,24.957,121.539
01001,Xindian River - Bitan,2018-07-15T00:00:00,DO,7.789,mg/L,淡水河,新店溪,New Taipei / Taipei,24.957,121.539
01001,Xindian River - Bitan,2018-07-15T00:00:00,BOD5,0.824,mg/L,淡水河,新店溪,New Taipei / Taipei,24.957,121.539
01001,Xindian River - Bitan,2018-07-15T00:00:00,SS,17.556,mg/L,淡水河,新店溪,New Taipei / Taipei,24.957,121.539
01001,Xindian River - Bitan,2018-07-15T00:00:00,NH3-N,0.157,mg/L,淡水河,新店溪,New Taipei / Taipei,24.957,121.539
01001,Xindian River - Bitan,2018-08-15T00:00:00,DO,7.723,mg/L,淡水河,新店溪,New Taipei / Taipei,24.957,121.539
01001,Xindian River - Bitan,2018-08-15T00:00:00,BOD5,0.868,mg/L,淡水河,新店溪,New Taipei / Taipei,24.957,121.539
01001,Xindian River - Bitan,2018-08-15T00:00:00,SS,15.228,mg/L,淡水河,新店溪,New Taipei / Taipei,24.957,121.539
01001,Xindian River - Bitan,2018-08-15T00:00:00,NH3-N,0.181,mg/L,淡水河,新店溪,New Taipei / Taipei,24.957,121.539
01001,Xindian River - Bitan,2018-09-15T00:00:00,DO,8.448,mg/L,淡水河,新店溪,New Taipei / Taipei,24.957,121.539
01001,Xindian River - Bitan,2018-09-15T00:00:00,BOD5,0.966,mg/L,淡水河,新店溪,New Taipei / Taipei,24.957,121.539
01001,Xindian River - Bitan,2018-09-15T00:00:00,SS,17.604,mg/L,淡水河,新店溪,New Taipei / Taipei,24.957,121.539
01001,Xindian River - Bitan,2018-09-15T00:00:00,NH3-N,0.137,mg/L,淡水河,新店溪,New Taipei / Taipei,24.957,121.539
01001,Xindian River - Bitan,2018-10-15T00:00:00,DO,8.193,mg/L,淡水河,新店溪,New Taipei / Taipei,24.957,121.539
01001,Xindian River - Bitan,2018-10-15T00:00:00,BOD5,0.637,mg/L,淡水河,新店溪,New Taipei / Taipei,24.957,121.539
01001,Xindian River - Bitan,2018-10-15T00:00:00,SS,11.54,mg/L,淡水河,新店溪,New Taipei / Taipei,24.957,121.539
01001,Xindian River - Bitan,2018-10-15T00:00:00,NH3-N,0.206,mg/L,淡水河,新店溪,New Taipei / Taipei,24.957,121.539
01001,Xindian River - Bitan,2018-11-15T00:00:00,DO,8.732,mg/L,淡水河,新店溪,New Taipei / Taipei,24.957,121.539
01001,Xindian River - Bitan,2018-11-15T00:00:00,BOD5,0.552,mg/L,淡水河,新店溪,New Taipei / Taipei,24.957,121.539
01001,Xindian River - Bitan,2018-11-15T00:00:00,SS,7.939,mg/L,淡水河,新店溪,New Taipei / Taipei,24.957,121.539
01001,Xindian River - Bitan,2018-11-15T00:00:00,NH3-N,0.175,mg/L,淡水河,新店溪,New Taipei / Taipei,24.957,121.539
01001,Xindian River - Bitan,2018-12-15T00:00:00,DO,9.466,mg/L,淡水河,新店溪,New Taipei / Taipei,24.957,121.539
01001,Xindian River - Bitan,2018-12-15T00:00:00,BOD5,0.77,mg/L,淡水河,新店溪,New Taipei / Taipei,24.957,121.539
01001,Xindian River - Bitan,2018-12-15T00:00:00,SS,8.336,mg/L,淡水河,新店溪,New Taipei / Taipei,24.957,121.539
01001,Xindian River - Bitan,2018-12-15T00:00:00,NH3-N,0.149,mg/L,淡水河,新店溪,New Taipei / Taipei,24.957,121.539
01001,Xindian River - Bitan,2019-01-15T00:00:00,DO,9.17,mg/L,淡水河,新店溪,New Taipei / Taipei,24.957,121.539
01001,Xindian River - Bitan,2019-01-15T00:00:00,BOD5,0.684,mg/L,淡水河,新店溪,New Taipei / Taipei,24.957,121.539
01001,Xindian River - Bitan,2019-01-15T00:00:00,SS,12.179,mg/L,淡水河,新店溪,New Taipei / Taipei,24.957,121.539
01001,Xindian River - Bitan,2019-01-15T00:00:00,NH3-N,0.146,mg/L,淡水河,新店溪,New Taipei / Taipei,24.957,121.539
01001,Xindian River - Bitan,2019-02-15T00:00:00,DO,9.427,mg/L,淡水河,新店溪,New Taipei / Taipei,24.957,121.539
01001,Xindian River - Bitan,2019-02-15T00:00:00,BOD5,0.675,mg/L,淡水河,新店溪,New Taipei / Taipei,24.957,121.539
01001,Xindian River - Bitan,2019-02-15T00:00:00,SS,10.723,mg/L,淡水河,新店溪,New Taipei / Taipei,24.957,121.539
01001,Xindian River - Bitan,2019-02-15T00:00:00,NH3-N,0.169,mg/L,淡水河,新店溪,New Taipei / Taipei,24.957,121.539
01001,Xindian River - Bitan,2019-03-15T00:00:00,DO,7.926,mg/L,淡水河,新店溪,New Taipei / Taipei,24.957,121.539
01001,Xindian River - Bitan,2019-03-15T00:00:00,BOD5,0.656,mg/L,淡水河,新店溪,New Taipei / Taipei,24.957,121.539
01001,Xindian River - Bitan,2019-03-15T00:00:00,SS,8.824,mg/L,淡水河,新店溪,New Taipei / Taipei,24.957,121.539
