date,eto_mm_day
2024-05-15,5.0350275466710155
2024-05-16,4.674642447948863
2024-05-17,5.551413526186279
2024-05-18,4.952611419242484
2024-05-19,4.094973031344984
2024-05-20,5.020805285912416
2024-05-21,5.175232704642945
2024-05-22,4.682512697877542
2024-05-23,3.3150288258722336
2024-05-24,5.116518216345501
2024-05-25,4.471215728301937
2024-05-26,4.67132735562813
2024-05-27,3.6960117446534233
2024-05-28,5.122296121995884
2024-05-29,4.150530554443354
2024-05-30,3.8596409367946176
2024-05-31,4.736652945869019
2024-06-01,4.947855711788849
2024-06-02,4.067491668334057
2024-06-03,5.460888297181317
2024-06-04,4.847172458560247
2024-06-05,4.761286699708933
2024-06-06,4.640889518507787
2024-06-07,4.143089321209594
2024-06-08,4.4125107949462
2024-06-09,4.232756786953431
2024-06-10,4.850147708825474
2024-06-11,5.41478541343809
2024-06-12,4.139460878158497
2024-06-13,3.7485403923953555
2024-06-14,5.37687486874002
2024-06-15,5.832136446986676
2024-06-16,4.452886835087296
2024-06-17,3.3613978025083107
2024-06-18,4.428694862098552
2024-06-19,4.768383212305581
2024-06-20,4.864451633264042
2024-06-21,4.179939586944241
2024-06-22,4.893603902671782
2024-06-23,5.207721504455225
2024-06-24,3.6727375406113967
2024-06-25,5.006425232714819
2024-06-26,5.984869838122807
2024-06-27,4.703165530226021
2024-06-28,5.124847697743356
2024-06-29,4.5805001290419645
2024-06-30,5.397446836674101
2024-07-01,3.868149232060623
2024-07-02,5.045280589074834
2024-07-03,4.991235603155635
2024-07-04,5.652816637852886
2024-07-05,4.570606654304051
2024-07-06,5.314653431287205
2024-07-07,4.5468438962400715
2024-07-08,4.639194320515966
2024-07-09,4.990494443807677
2024-07-10,4.205052768319997
2024-07-11,5.071525124246134
2024-07-12,4.8364043130184164
2024-07-13,4.374677007838776
2024-07-14,3.3867724572333655
2024-07-15,4.7357218724903385
2024-07-16,4.223409841904193
2024-07-17,4.751191324716616
2024-07-18,4.757443863188124
2024-07-19,4.125902465098903
2024-07-20,3.984458570206118
2024-07-21,4.5409606602943535
2024-07-22,4.539865728020161
2024-07-23,3.335202968516326
2024-07-24,5.218376904635477
2024-07-25,4.847861456901143
2024-07-26,4.134982327014455
2024-07-27,4.716453395591844
2024-07-28,4.916796997496508
2024-07-29,4.865812051874647
2024-07-30,5.8825159405081395
2024-07-31,4.798543479834278
2024-08-01,4.656174191998622
2024-08-02,4.529483464003519
2024-08-03,5.095352328452017
2024-08-04,5.235986276028873
2024-08-05,5.212456056152646
2024-08-06,4.212771749591596
2024-08-07,4.2070506814186395
2024-08-08,4.624687634997213
2024-08-09,5.13416517971059
2024-08-10,5.2795244161331745
2024-08-11,4.648883402411859
2024-08-12,4.581679187500024
2024-08-13,4.590666604419499
2024-08-14,4.378130227552564
2024-08-15,5.22221816507107
2024-08-16,3.341636679480851
2024-08-17,4.272294828823208
2024-08-18,4.0841065335478115
2024-08-19,3.945476150606384
2024-08-20,4.583461471389993
2024-08-21,4.02371608833415
2024-08-22,4.505149481722324
2024-08-23,4.737480965895093
2024-08-24,4.377060355730024
2024-08-25,4.192077865202696
2024-08-26,4.420464346618882
2024-08-27,5.129997272188832
2024-08-28,5.147831137800185
2024-08-29,4.153064997528169
2024-08-30,4.82522288603509
2024-08-31,4.713270556505052
2024-09-01,4.97134611660816
2024-09-02,4.290668319791127
2024-09-03,4.922547193210351
2024-09-04,4.692543627061893
2024-09-05,4.3034627292882695
2024-09-06,4.152768216711746
2024-09-07,3.893317689135293
2024-09-08,3.549866835301727
2024-09-09,5.145067851583194
2024-09-10,4.584669967966137
2024-09-11,3.6524382782877445
